"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Season"
"SC0","16/10/10","Aberdeen","Hearts",0,1,"A",0,0,"D","M Tumilty",5,14,2,6,13,14,3,7,3,4,0,0,"2010/11"
"SC0","16/10/10","Hibernian","Kilmarnock",2,1,"H",2,1,"H","I Brines",5,8,3,3,12,14,4,7,1,1,0,0,"2010/11"
"SC0","16/10/10","Inverness C","St Johnstone",1,1,"D",0,1,"A","A Muir",9,8,6,2,14,18,7,6,2,3,0,0,"2010/11"
"SC0","16/10/10","Rangers","Motherwell",4,1,"H",0,1,"A","S Finnie",17,11,8,4,4,8,5,3,2,1,0,0,"2010/11"
"SC0","16/10/10","St Mirren","Hamilton",2,2,"D",0,1,"A","W Collum",3,5,3,4,16,16,6,8,5,3,0,0,"2010/11"
"SC0","17/10/10","Dundee United","Celtic",1,2,"A",1,1,"D","D McDonald",12,25,8,14,12,11,9,11,4,4,0,0,"2010/11"
"SC0","23/10/10","Aberdeen","Hibernian",4,2,"H",2,0,"H","C Thomson",6,14,4,8,10,11,4,8,0,2,0,0,"2010/11"
"SC0","23/10/10","Hamilton","St Johnstone",1,2,"A",0,1,"A","M Tumilty",4,4,3,2,12,10,4,4,3,3,0,0,"2010/11"
"SC0","23/10/10","Hearts","St Mirren",3,0,"H",2,0,"H","C Murray",9,5,5,3,13,14,8,2,0,2,0,0,"2010/11"
"SC0","23/10/10","Kilmarnock","Inverness C",1,2,"A",0,1,"A","E Norris",11,8,6,5,14,6,6,9,3,2,0,0,"2010/11"
"SC0","23/10/10","Motherwell","Dundee United",2,1,"H",1,0,"H","S McLean",10,1,5,0,7,21,10,3,2,2,0,0,"2010/11"
"SC0","24/10/10","Celtic","Rangers",1,3,"A",1,0,"H","W Collum",15,7,7,4,16,15,11,1,3,2,0,0,"2010/11"
"SC0","30/10/10","Dundee United","Hibernian",1,0,"H",0,0,"D","S Finnie",8,2,5,0,12,14,3,6,1,1,0,0,"2010/11"
"SC0","30/10/10","Motherwell","Hamilton",0,1,"A",0,1,"A","C Thomson",7,10,1,5,14,13,10,2,1,3,0,0,"2010/11"
"SC0","30/10/10","Rangers","Inverness C",1,1,"D",1,0,"H","I Brines",20,7,13,2,11,13,14,2,2,2,0,0,"2010/11"
"SC0","30/10/10","St Johnstone","Celtic",0,3,"A",0,2,"A","C Murray",6,19,2,8,14,10,1,5,2,1,1,0,"2010/11"
"SC0","30/10/10","St Mirren","Aberdeen",2,1,"H",1,0,"H","C Allan",4,3,2,1,13,17,4,5,0,3,0,0,"2010/11"
"SC0","31/10/10","Hearts","Kilmarnock",0,3,"A",0,1,"A","S O'Reilly",12,14,5,7,9,6,6,5,3,2,0,0,"2010/11"
"SC0","06/11/10","Celtic","Aberdeen",9,0,"H",4,0,"H","A Muir",16,4,8,3,7,11,8,1,1,2,1,1,"2010/11"
"SC0","06/11/10","Hamilton","Dundee United",0,1,"A",0,0,"D","C Murray",4,10,1,6,17,7,5,5,2,0,0,0,"2010/11"
"SC0","06/11/10","Inverness C","Motherwell",1,2,"A",0,2,"A","M Tumilty",10,11,5,7,9,16,4,7,0,0,0,0,"2010/11"
"SC0","06/11/10","St Johnstone","Kilmarnock",0,3,"A",0,1,"A","I Brines",7,9,1,6,13,9,3,3,3,2,0,0,"2010/11"
"SC0","07/11/10","Hibernian","Hearts",0,2,"A",0,1,"A","W Collum",6,9,3,4,13,13,4,6,2,2,1,0,"2010/11"
"SC0","07/11/10","St Mirren","Rangers",1,3,"A",0,0,"D","C Thomson",10,18,6,12,16,13,3,3,2,2,0,0,"2010/11"
"SC0","09/11/10","Aberdeen","Inverness C",1,2,"A",0,1,"A","J McKendrick",12,9,5,2,16,11,6,4,5,0,0,0,"2010/11"
"SC0","10/11/10","Dundee United","St Mirren",1,2,"A",0,1,"A","E Norris",5,8,3,3,9,10,5,1,2,3,0,0,"2010/11"
"SC0","10/11/10","Hearts","Celtic",2,0,"H",1,0,"H","C Thomson",9,6,5,2,18,17,5,4,2,5,0,1,"2010/11"
"SC0","10/11/10","Kilmarnock","Hamilton",3,0,"H",1,0,"H","W Collum",13,7,6,4,9,15,3,2,2,4,0,0,"2010/11"
"SC0","10/11/10","Motherwell","St Johnstone",4,0,"H",3,0,"H","C Allan",10,6,8,4,13,12,2,7,0,1,0,0,"2010/11"
"SC0","10/11/10","Rangers","Hibernian",0,3,"A",0,2,"A","S O'Reilly",13,7,13,6,11,11,17,4,1,2,0,0,"2010/11"
"SC0","13/11/10","Dundee United","Kilmarnock",1,1,"D",1,1,"D","A Muir",6,5,1,1,4,2,9,7,2,3,0,0,"2010/11"
"SC0","13/11/10","Hamilton","Inverness C",1,3,"A",1,0,"H","S McLean",2,3,1,3,9,15,3,5,2,2,0,0,"2010/11"
"SC0","13/11/10","Hibernian","Motherwell",2,1,"H",2,1,"H","D McDonald",12,5,7,2,11,13,4,5,3,4,0,0,"2010/11"
"SC0","13/11/10","Rangers","Aberdeen",2,0,"H",2,0,"H","C Murray",19,4,9,1,9,14,5,2,3,2,0,0,"2010/11"
"SC0","13/11/10","St Johnstone","Hearts",0,2,"A",0,0,"D","M Tumilty",8,13,2,7,9,15,2,4,3,2,0,0,"2010/11"
"SC0","14/11/10","St Mirren","Celtic",0,1,"A",0,0,"D","I Brines",6,22,2,10,9,12,4,8,2,1,0,0,"2010/11"
"SC0","20/11/10","Aberdeen","St Johnstone",0,1,"A",0,0,"D","W Collum",14,10,4,6,15,10,6,6,1,3,1,0,"2010/11"
"SC0","20/11/10","Celtic","Dundee United",1,1,"D",1,0,"H","M Tumilty",14,3,7,2,7,9,6,6,1,3,0,0,"2010/11"
"SC0","20/11/10","Hearts","Hamilton",2,0,"H",1,0,"H","I Brines",15,6,10,5,18,16,3,6,1,0,0,0,"2010/11"
"SC0","20/11/10","Inverness C","Hibernian",4,2,"H",1,0,"H","S Conroy",10,7,5,3,5,3,5,4,1,0,0,1,"2010/11"
"SC0","20/11/10","Kilmarnock","Rangers",2,3,"A",1,1,"D","E Norris",13,11,6,3,15,12,7,3,3,1,1,0,"2010/11"
"SC0","20/11/10","St Mirren","Motherwell",1,1,"D",1,0,"H","A Muir",8,13,2,3,18,16,5,5,3,4,1,0,"2010/11"
"SC0","27/11/10","Celtic","Inverness C",2,2,"D",1,0,"H","A Hamer",11,7,3,4,10,11,5,11,0,1,0,0,"2010/11"
"SC0","27/11/10","Hamilton","St Mirren",0,0,"D",0,0,"D","M Levi",5,4,1,1,17,11,13,4,3,1,0,0,"2010/11"
"SC0","27/11/10","Hibernian","St Johnstone",0,0,"D",0,0,"D","C Lautiar",5,3,3,1,15,14,3,3,0,0,0,0,"2010/11"
"SC0","27/11/10","Kilmarnock","Aberdeen",2,0,"H",1,0,"H","E Hacmon",9,5,6,3,8,13,4,7,1,1,0,0,"2010/11"
"SC0","11/12/10","Hearts","Aberdeen",5,0,"H",2,0,"H","M Tumilty",13,4,7,3,11,9,4,5,3,2,0,0,"2010/11"
"SC0","11/12/10","Inverness C","Rangers",1,1,"D",1,0,"H","C Murray",8,9,4,3,17,5,2,8,3,3,0,0,"2010/11"
"SC0","11/12/10","St Mirren","St Johnstone",1,2,"A",0,0,"D","S Finnie",7,12,4,7,17,12,2,4,1,4,0,0,"2010/11"
"SC0","14/12/10","Motherwell","Hearts",1,2,"A",1,1,"D","S O'Reilly",3,9,1,2,12,10,1,0,2,0,1,0,"2010/11"
"SC0","18/12/10","Hearts","Inverness C",1,1,"D",1,1,"D","B Winter",12,7,3,5,9,13,8,2,1,2,0,0,"2010/11"
"SC0","18/12/10","Kilmarnock","Hibernian",2,1,"H",2,0,"H","C Thomson",7,7,6,5,3,17,8,6,3,2,0,1,"2010/11"
"SC0","21/12/10","Celtic","Kilmarnock",1,1,"D",0,0,"D","W Collum",12,2,6,1,11,6,16,4,0,3,0,0,"2010/11"
"SC0","26/12/10","Celtic","St Johnstone",2,0,"H",0,0,"D","C Murray",12,3,6,1,12,8,10,0,2,2,0,0,"2010/11"
"SC0","26/12/10","Hibernian","Aberdeen",1,2,"A",1,1,"D","S O'Reilly",12,9,7,7,12,12,4,2,0,1,0,0,"2010/11"
"SC0","26/12/10","Inverness C","St Mirren",1,2,"A",1,1,"D","C Thomson",9,10,2,7,9,8,7,5,1,2,0,0,"2010/11"
"SC0","26/12/10","Motherwell","Rangers",1,4,"A",0,2,"A","I Brines",10,14,4,13,10,9,3,3,1,1,0,0,"2010/11"
"SC0","29/12/10","Celtic","Motherwell",1,0,"H",1,0,"H","S Finnie",7,0,2,0,8,10,6,5,3,3,1,0,"2010/11"
"SC0","29/12/10","Hamilton","Aberdeen",0,1,"A",0,0,"D","C Thomson",6,5,2,4,10,13,4,2,2,1,0,0,"2010/11"
"SC0","29/12/10","Hibernian","Dundee United",2,2,"D",1,2,"A","S O'Reilly",12,6,10,3,12,18,11,3,2,2,0,1,"2010/11"
"SC0","29/12/10","Inverness C","Kilmarnock",1,3,"A",0,1,"A","W Collum",8,14,4,8,5,7,8,6,4,1,0,0,"2010/11"
"SC0","29/12/10","St Mirren","Hearts",0,2,"A",0,0,"D","C Allan",10,15,5,10,15,17,3,15,1,2,1,0,"2010/11"
"SC0","01/01/11","Aberdeen","Dundee United",1,1,"D",1,0,"H","W Collum",6,10,1,5,6,11,5,4,2,3,0,0,"2010/11"
"SC0","01/01/11","Hamilton","Motherwell",0,0,"D",0,0,"D","S O'Reilly",14,6,7,2,18,13,4,5,2,1,0,0,"2010/11"
"SC0","01/01/11","Hearts","Hibernian",1,0,"H",0,0,"D","C Murray",20,5,9,1,13,17,8,4,1,3,0,0,"2010/11"
"SC0","02/01/11","Rangers","Celtic",0,2,"A",0,0,"D","C Thompson",8,10,1,2,15,11,4,8,2,4,0,0,"2010/11"
"SC0","02/01/11","St Johnstone","Inverness C",1,0,"H",0,0,"D","G Salmond",14,7,7,6,14,13,5,5,0,0,0,0,"2010/11"
"SC0","03/01/11","St Mirren","Kilmarnock",0,2,"A",0,0,"D","B Winter",11,14,2,10,12,10,7,7,2,1,0,0,"2010/11"
"SC0","12/01/11","Dundee United","Motherwell",2,0,"H",0,0,"D","I Brines",10,4,8,2,4,6,5,0,1,0,0,0,"2010/11"
"SC0","12/01/11","Hamilton","Celtic",1,1,"D",1,0,"H","W Collum",4,13,3,5,12,10,2,6,0,2,2,1,"2010/11"
"SC0","15/01/11","Aberdeen","St Mirren",2,0,"H",0,0,"D","C Murray",16,7,9,0,9,11,3,2,2,1,0,0,"2010/11"
"SC0","15/01/11","Hibernian","Celtic",0,3,"A",0,1,"A","C Thomson",4,11,1,8,16,8,3,10,3,1,0,0,"2010/11"
"SC0","15/01/11","Kilmarnock","St Johnstone",1,1,"D",1,0,"H","S McLean",7,11,4,5,6,14,5,7,1,1,0,0,"2010/11"
"SC0","15/01/11","Motherwell","Inverness C",0,0,"D",0,0,"D","E Norris",5,7,2,5,13,11,4,5,1,1,0,0,"2010/11"
"SC0","15/01/11","Rangers","Hamilton",4,0,"H",3,0,"H","B Winter",25,3,14,2,6,13,12,1,0,1,0,0,"2010/11"
"SC0","18/01/11","Kilmarnock","Hearts",1,2,"A",1,0,"H","S Conroy",4,10,2,4,6,9,4,11,1,2,0,0,"2010/11"
"SC0","18/01/11","Rangers","Inverness C",1,0,"H",1,0,"H","C Thomson",17,6,7,5,8,17,4,2,1,2,0,0,"2010/11"
"SC0","22/01/11","Celtic","Aberdeen",1,0,"H",1,0,"H","I Brines",9,4,4,0,10,16,7,8,1,1,0,0,"2010/11"
"SC0","22/01/11","Hearts","Rangers",1,0,"H",0,0,"D","M Tumilty",4,18,1,11,10,11,2,6,3,2,0,0,"2010/11"
"SC0","22/01/11","Inverness C","Hamilton",1,1,"D",1,1,"D","S Finnie",7,6,3,1,14,6,4,0,2,3,0,0,"2010/11"
"SC0","22/01/11","Kilmarnock","Dundee United",1,1,"D",1,0,"H","G Salmond",22,8,8,2,14,12,3,5,1,2,1,2,"2010/11"
"SC0","22/01/11","Motherwell","Hibernian",2,0,"H",2,0,"H","A Muir",5,9,2,2,17,20,4,2,1,4,0,0,"2010/11"
"SC0","22/01/11","St Johnstone","St Mirren",0,0,"D",0,0,"D","W Collum",7,6,4,4,13,15,6,2,0,2,0,0,"2010/11"
"SC0","26/01/11","Celtic","Hearts",4,0,"H",1,0,"H","E Norris",9,0,5,0,12,14,3,3,4,3,0,0,"2010/11"
"SC0","26/01/11","Hibernian","Rangers",0,2,"A",0,2,"A","S O'Reily",6,3,4,3,15,17,2,3,5,2,0,0,"2010/11"
"SC0","26/01/11","Inverness C","Aberdeen",0,2,"A",0,1,"A","S Conroy",8,10,4,5,4,11,8,7,0,1,1,0,"2010/11"
"SC0","26/01/11","St Johnstone","Motherwell",1,0,"H",0,0,"D","C Murray",6,9,2,1,6,13,7,3,3,2,0,0,"2010/11"
"SC0","26/01/11","St Mirren","Dundee United",1,1,"D",1,0,"H","C Thomson",10,14,5,5,11,12,7,6,2,3,0,0,"2010/11"
"SC0","29/01/11","Hamilton","Kilmarnock",1,1,"D",0,1,"A","B Winter",9,16,3,10,10,9,6,8,1,1,0,1,"2010/11"
"SC0","29/01/11","Hearts","St Johnstone",1,0,"H",1,0,"H","C Allan",10,6,5,4,15,9,2,2,2,1,0,0,"2010/11"
"SC0","30/01/11","Dundee United","Hibernian",3,0,"H",1,0,"H","I Brines",12,11,4,4,8,14,3,8,1,1,0,0,"2010/11"
"SC0","01/02/11","Aberdeen","Celtic",0,3,"A",0,1,"A","A Muir",7,14,4,6,18,10,3,8,4,1,1,0,"2010/11"
"SC0","01/02/11","St Johnstone","Hamilton",2,0,"H",1,0,"H","E Norris",8,4,6,4,9,7,4,8,1,1,0,0,"2010/11"
"SC0","02/02/11","Hibernian","St Mirren",2,0,"H",0,0,"D","M Tumilty",15,5,6,4,15,11,4,2,4,2,0,0,"2010/11"
"SC0","02/02/11","Motherwell","Kilmarnock",0,1,"A",0,0,"D","S O'Reilly",16,8,9,3,8,14,6,2,1,3,0,1,"2010/11"
"SC0","02/02/11","Rangers","Hearts",1,0,"H",1,0,"H","B Winter",6,4,4,3,8,19,3,1,0,6,0,0,"2010/11"
"SC0","12/02/11","Hamilton","Hearts",0,2,"A",0,1,"A","S O'Reilly",3,10,2,6,12,13,3,7,2,1,0,0,"2010/11"
"SC0","12/02/11","Hibernian","Kilmarnock",2,1,"H",0,0,"D","S Conroy",6,11,2,4,17,8,2,6,4,2,1,0,"2010/11"
"SC0","12/02/11","Rangers","Motherwell",6,0,"H",3,0,"H","A Muir",19,6,12,4,12,13,5,5,1,3,0,0,"2010/11"
"SC0","12/02/11","St Mirren","Inverness C",3,3,"D",2,2,"D","B Madden",15,7,8,5,13,11,7,1,2,1,0,0,"2010/11"
"SC0","13/02/11","Dundee United","Celtic",1,3,"A",0,2,"A","M Tumilty",7,12,3,5,11,5,4,5,1,3,0,0,"2010/11"
"SC0","15/02/11","Aberdeen","Motherwell",1,2,"A",1,1,"D","S McLean",9,15,3,7,9,12,6,5,2,4,1,0,"2010/11"
"SC0","19/02/11","Aberdeen","Kilmarnock",5,0,"H",2,0,"H","G Salmond",7,6,5,3,19,9,5,5,2,3,0,0,"2010/11"
"SC0","19/02/11","Hearts","Dundee United",2,1,"H",1,1,"D","C Murray",8,6,4,2,16,9,4,3,2,3,1,0,"2010/11"
"SC0","19/02/11","Inverness C","St Johnstone",2,0,"H",1,0,"H","W Collum",9,6,4,3,11,10,3,5,0,0,0,0,"2010/11"
"SC0","19/02/11","Motherwell","Hamilton",1,0,"H",1,0,"H","C Allan",12,5,6,1,13,17,3,1,1,3,0,0,"2010/11"
"SC0","20/02/11","Celtic","Rangers",3,0,"H",2,0,"H","I Brines",8,9,6,2,7,18,6,7,1,5,0,0,"2010/11"
"SC0","20/02/11","St Mirren","Hibernian",0,1,"A",0,0,"D","E Norris",6,12,2,5,14,14,2,7,0,2,0,0,"2010/11"
"SC0","22/02/11","Aberdeen","Hamilton",1,0,"H",1,0,"H","S Finnie",11,10,2,3,15,15,4,2,2,2,0,0,"2010/11"
"SC0","22/02/11","St Johnstone","Dundee United",0,0,"D",0,0,"D","J McKendrick",7,7,0,0,11,9,4,10,2,2,0,0,"2010/11"
"SC0","23/02/11","Motherwell","St Mirren",0,1,"A",0,0,"D","S Conroy",9,9,2,6,11,14,3,1,2,2,0,0,"2010/11"
"SC0","26/02/11","Aberdeen","Hearts",0,0,"D",0,0,"D","M Tumilty",10,8,6,4,8,13,8,4,0,2,0,0,"2010/11"
"SC0","26/02/11","Hamilton","Dundee United",1,1,"D",1,0,"H","A Muir",1,5,0,2,17,9,2,5,2,1,0,0,"2010/11"
"SC0","26/02/11","Hibernian","Inverness C",2,0,"H",0,0,"D","C Thomson",17,5,9,4,11,9,4,5,0,0,0,0,"2010/11"
"SC0","26/02/11","Kilmarnock","St Mirren",2,0,"H",2,0,"H","C Murray",9,11,6,5,15,14,4,6,2,2,0,0,"2010/11"
"SC0","27/02/11","Motherwell","Celtic",2,0,"H",1,0,"H","E Norris",9,13,6,7,22,21,4,5,4,2,0,0,"2010/11"
"SC0","27/02/11","Rangers","St Johnstone",4,0,"H",2,0,"H","S McLean",17,6,9,3,11,9,2,2,0,1,0,0,"2010/11"
"SC0","01/03/11","Hamilton","Hibernian",1,2,"A",0,1,"A","G Salmond",4,4,3,3,14,12,8,7,1,0,0,0,"2010/11"
"SC0","01/03/11","Inverness C","Dundee United",0,2,"A",0,0,"D","S McLean",9,13,2,4,18,11,3,5,2,0,0,0,"2010/11"
"SC0","02/03/11","St Johnstone","Aberdeen",0,0,"D",0,0,"D","C Thomson",15,7,7,5,14,14,9,4,2,1,0,0,"2010/11"
"SC0","05/03/11","Celtic","Hamilton",2,0,"H",1,0,"H","S O'Reilly",11,4,7,1,15,7,7,2,2,3,0,0,"2010/11"
"SC0","05/03/11","Hearts","Kilmarnock",0,2,"A",0,0,"D","S McLean",13,11,6,5,14,9,8,3,3,2,0,1,"2010/11"
"SC0","05/03/11","Inverness C","Motherwell",3,0,"H",1,0,"H","I Brines",7,2,6,1,13,8,1,3,0,0,0,0,"2010/11"
"SC0","05/03/11","St Johnstone","Hibernian",1,1,"D",0,0,"D","C Allan",10,7,2,5,9,9,7,3,3,2,0,0,"2010/11"
"SC0","06/03/11","St Mirren","Rangers",0,1,"A",0,1,"A","W Collum",8,8,2,3,14,13,6,5,1,0,0,0,"2010/11"
"SC0","07/03/11","Dundee United","Aberdeen",3,1,"H",2,0,"H","B Winter",10,5,4,5,6,9,6,9,0,2,0,0,"2010/11"
"SC0","10/03/11","Dundee United","Hamilton",2,1,"H",1,1,"D","W Collum",8,11,5,3,12,6,8,7,0,1,0,0,"2010/11"
"SC0","13/03/11","Rangers","Kilmarnock",2,1,"H",1,0,"H","A Muir",19,5,7,0,12,5,13,11,3,2,0,0,"2010/11"
"SC0","16/03/11","Dundee United","Hearts",2,0,"H",0,0,"D","I Brines",5,5,3,1,7,12,8,2,3,2,0,0,"2010/11"
"SC0","19/03/11","Dundee United","Inverness C",1,0,"H",1,0,"H","G Salmond",5,4,2,2,8,14,6,6,0,2,0,0,"2010/11"
"SC0","19/03/11","Hamilton","St Johnstone",0,0,"D",0,0,"D","B Madden",9,7,3,1,11,13,5,3,2,1,1,0,"2010/11"
"SC0","19/03/11","Hearts","St Mirren",3,2,"H",0,1,"A","S Finnie",16,11,7,6,13,13,4,3,0,3,0,0,"2010/11"
"SC0","19/03/11","Kilmarnock","Motherwell",3,1,"H",2,1,"H","M Tumilty",18,11,12,5,6,13,8,5,1,4,0,0,"2010/11"
"SC0","02/04/11","Motherwell","Aberdeen",2,1,"H",1,0,"H","S McLean",8,6,4,4,7,10,5,8,2,3,0,0,"2010/11"
"SC0","02/04/11","Rangers","Dundee United",2,3,"A",1,1,"D","S Conroy",9,8,6,3,9,11,6,2,1,2,0,0,"2010/11"
"SC0","02/04/11","St Johnstone","Kilmarnock",0,0,"D",0,0,"D","S Finnie",6,3,1,1,8,7,6,2,1,1,0,0,"2010/11"
"SC0","02/04/11","St Mirren","Hamilton",3,1,"H",0,1,"A","W Collum",4,3,3,2,19,17,3,5,2,1,0,1,"2010/11"
