"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Season"
"SC0","27/09/14","Aberdeen","Inverness C",3,2,"H",2,1,"H","J Beaton",10,9,7,4,16,16,8,2,2,2,0,0,"2014/15"
"SC0","27/09/14","Dundee United","St Johnstone",2,0,"H",1,0,"H","B Madden",6,7,3,1,13,14,3,5,2,1,0,0,"2014/15"
"SC0","27/09/14","Kilmarnock","Partick",3,0,"H",1,0,"H","A Dallas",11,8,7,4,5,11,4,3,0,3,0,0,"2014/15"
"SC0","27/09/14","Motherwell","Hamilton",0,4,"A",0,2,"A","W Collum",9,23,3,9,15,16,9,4,5,1,0,0,"2014/15"
"SC0","27/09/14","Ross County","Dundee",2,1,"H",1,0,"H","C Charleston",15,8,5,4,13,17,7,3,1,2,0,0,"2014/15"
"SC0","27/09/14","St Mirren","Celtic",1,2,"A",0,1,"A","C Thomson",6,11,2,2,11,12,5,6,2,1,0,0,"2014/15"
"SC0","30/09/14","Aberdeen","St Mirren",2,2,"D",1,0,"H","A Crawford",21,10,11,5,16,12,7,5,2,3,0,0,"2014/15"
"SC0","03/10/14","Kilmarnock","Dundee United",2,0,"H",0,0,"D","A Crawford",15,11,6,3,14,10,7,2,3,2,0,0,"2014/15"
"SC0","04/10/14","Dundee","Aberdeen",2,3,"A",1,2,"A","W Collum",13,6,4,2,14,18,5,7,2,2,0,0,"2014/15"
"SC0","04/10/14","Partick","Motherwell",3,1,"H",1,0,"H","B Madden",12,8,6,5,9,11,5,5,3,1,0,0,"2014/15"
"SC0","04/10/14","St Johnstone","St Mirren",1,2,"A",0,1,"A","D Robertson",5,7,1,2,11,12,5,3,0,3,0,0,"2014/15"
"SC0","05/10/14","Celtic","Hamilton",0,1,"A",0,0,"D","S McLean",16,5,7,2,13,6,11,4,2,1,0,0,"2014/15"
"SC0","05/10/14","Inverness C","Ross County",1,1,"D",0,1,"A","C Thomson",19,14,10,6,8,16,8,4,1,2,0,0,"2014/15"
"SC0","17/10/14","Hamilton","Aberdeen",3,0,"H",1,0,"H","K Clancy",6,8,3,3,14,13,5,4,5,2,0,0,"2014/15"
"SC0","18/10/14","Dundee United","Partick",1,0,"H",0,0,"D","S McLean",10,12,6,4,7,11,4,7,2,3,0,1,"2014/15"
"SC0","18/10/14","Motherwell","Dundee",1,3,"A",0,2,"A","B Colvin",12,10,10,7,8,10,10,4,1,2,0,0,"2014/15"
"SC0","18/10/14","Ross County","Celtic",0,5,"A",0,4,"A","B Madden",5,12,0,6,13,9,2,10,0,0,0,0,"2014/15"
"SC0","18/10/14","St Johnstone","Kilmarnock",1,2,"A",1,2,"A","C Thomson",10,9,4,7,13,15,6,4,3,2,0,0,"2014/15"
"SC0","18/10/14","St Mirren","Inverness C",0,1,"A",0,1,"A","W Collum",9,7,2,4,14,16,4,3,4,3,0,2,"2014/15"
"SC0","24/10/14","Aberdeen","Motherwell",1,0,"H",1,0,"H","A Crawford",13,4,3,1,4,13,2,6,0,2,0,0,"2014/15"
"SC0","25/10/14","Dundee","Hamilton",2,0,"H",0,0,"D","J Beaton",8,10,3,2,14,14,7,2,2,2,0,0,"2014/15"
"SC0","25/10/14","Inverness C","Dundee United",1,0,"H",1,0,"H","K Clancy",20,9,5,1,8,17,10,4,0,2,0,0,"2014/15"
"SC0","25/10/14","Partick","St Johnstone",0,0,"D",0,0,"D","C Murray",12,9,4,3,11,13,7,4,2,2,0,0,"2014/15"
"SC0","25/10/14","St Mirren","Ross County",2,2,"D",1,1,"D","D Robertson",15,7,8,4,11,15,11,6,0,1,0,0,"2014/15"
"SC0","26/10/14","Celtic","Kilmarnock",2,0,"H",1,0,"H","W Collum",20,3,10,0,14,8,6,3,1,1,0,1,"2014/15"
"SC0","31/10/14","St Johnstone","Motherwell",2,1,"H",1,1,"D","K Clancy",10,11,5,5,5,16,7,5,0,2,0,0,"2014/15"
"SC0","01/11/14","Celtic","Inverness C",1,0,"H",0,0,"D","C Thomson",14,10,3,4,11,9,7,8,2,2,0,0,"2014/15"
"SC0","01/11/14","Dundee United","St Mirren",3,0,"H",1,0,"H","A Dallas",11,14,6,7,9,11,5,7,1,4,0,0,"2014/15"
"SC0","01/11/14","Hamilton","Partick",3,3,"D",2,1,"H","B Colvin",12,7,8,4,12,17,3,6,1,3,0,0,"2014/15"
"SC0","01/11/14","Kilmarnock","Dundee",1,3,"A",0,1,"A","G Aitken",10,7,3,5,6,11,7,4,1,2,0,0,"2014/15"
"SC0","03/11/14","Ross County","Aberdeen",0,1,"A",0,0,"D","W Collum",8,15,2,4,14,12,2,6,1,1,0,0,"2014/15"
"SC0","07/11/14","Motherwell","Dundee United",1,0,"H",0,0,"D","S McLean",6,14,2,2,10,6,2,7,3,2,0,0,"2014/15"
"SC0","08/11/14","Dundee","St Johnstone",1,1,"D",1,0,"H","B Madden",15,8,8,5,10,12,10,9,4,1,0,0,"2014/15"
"SC0","08/11/14","Inverness C","Hamilton",4,2,"H",1,1,"D","W Collum",14,8,10,5,10,13,7,2,1,2,0,0,"2014/15"
"SC0","08/11/14","Kilmarnock","Ross County",0,3,"A",0,3,"A","S Finnie",14,11,5,6,12,12,6,3,6,3,0,0,"2014/15"
"SC0","08/11/14","St Mirren","Partick",0,1,"A",0,0,"D","J Beaton",9,8,1,5,12,16,4,3,3,3,0,0,"2014/15"
"SC0","09/11/14","Aberdeen","Celtic",1,2,"A",1,1,"D","A Muir",12,9,3,6,15,11,5,5,2,2,0,1,"2014/15"
"SC0","22/11/14","Celtic","Dundee",2,1,"H",1,0,"H","K Clancy",14,10,6,4,12,12,5,5,2,1,0,0,"2014/15"
"SC0","22/11/14","Dundee United","Kilmarnock",3,1,"H",2,1,"H","J Beaton",12,9,7,5,15,11,6,6,2,3,0,0,"2014/15"
"SC0","22/11/14","Hamilton","St Mirren",3,0,"H",1,0,"H","G Aitken",17,6,8,1,10,6,8,4,2,0,0,0,"2014/15"
"SC0","22/11/14","Inverness C","Motherwell",3,1,"H",1,1,"D","B Madden",20,4,8,1,11,14,7,1,2,2,0,0,"2014/15"
"SC0","22/11/14","St Johnstone","Ross County",2,1,"H",1,0,"H","S McLean",4,13,4,2,12,9,9,9,3,3,0,0,"2014/15"
"SC0","23/11/14","Partick","Aberdeen",0,1,"A",0,1,"A","W Collum",6,11,0,7,8,15,3,6,1,1,0,0,"2014/15"
"SC0","03/12/14","Celtic","Partick",1,0,"H",0,0,"D","B Colvin",21,6,8,3,4,7,9,2,0,0,0,0,"2014/15"
"SC0","05/12/14","Ross County","Dundee United",2,3,"A",0,1,"A","B Madden",9,12,7,6,10,13,8,4,1,1,1,0,"2014/15"
"SC0","06/12/14","Aberdeen","Hamilton",3,0,"H",1,0,"H","B Colvin",13,6,6,3,6,13,9,1,1,4,0,1,"2014/15"
"SC0","06/12/14","Dundee","Inverness C",1,2,"A",1,0,"H","W Collum",7,11,1,4,13,12,2,8,2,1,0,0,"2014/15"
"SC0","06/12/14","Motherwell","Celtic",0,1,"A",0,1,"A","C Murray",7,20,1,6,10,9,1,10,1,1,1,0,"2014/15"
"SC0","06/12/14","Partick","Kilmarnock",1,1,"D",1,1,"D","S McLean",6,4,1,2,15,11,5,3,2,1,0,0,"2014/15"
"SC0","06/12/14","St Mirren","St Johnstone",0,1,"A",0,1,"A","K Clancy",13,13,9,5,15,10,3,6,4,4,0,0,"2014/15"
"SC0","13/12/14","Dundee United","Aberdeen",0,2,"A",0,2,"A","A Crawford",7,11,1,4,8,9,4,7,1,1,0,0,"2014/15"
"SC0","13/12/14","Hamilton","Dundee",2,1,"H",2,0,"H","A Muir",9,6,4,4,16,17,4,3,3,3,0,1,"2014/15"
"SC0","13/12/14","Inverness C","Partick",0,4,"A",0,2,"A","J Beaton",6,13,4,8,12,6,7,5,0,1,0,0,"2014/15"
"SC0","13/12/14","Kilmarnock","St Johnstone",0,1,"A",0,0,"D","D Robertson",12,10,5,4,9,17,4,5,2,1,0,0,"2014/15"
"SC0","13/12/14","Motherwell","Ross County",2,2,"D",0,1,"A","W Collum",6,20,3,8,8,13,1,11,0,0,0,0,"2014/15"
"SC0","14/12/14","Celtic","St Mirren",4,1,"H",3,1,"H","C Thomson",22,4,13,1,14,8,8,2,0,0,0,0,"2014/15"
"SC0","20/12/14","Aberdeen","Kilmarnock",1,0,"H",0,0,"D","A Dallas",18,8,5,3,12,7,3,4,1,2,0,0,"2014/15"
"SC0","20/12/14","Partick","Dundee",1,1,"D",0,0,"D","C Thomson",13,8,3,1,15,8,2,4,3,2,0,0,"2014/15"
"SC0","20/12/14","Ross County","Hamilton",0,1,"A",0,1,"A","J Beaton",9,10,2,3,11,12,3,5,0,1,0,0,"2014/15"
"SC0","20/12/14","St Johnstone","Inverness C",1,0,"H",0,0,"D","B Colvin",9,10,4,4,14,20,8,2,0,3,0,1,"2014/15"
"SC0","20/12/14","St Mirren","Motherwell",0,1,"A",0,0,"D","A Muir",10,5,4,2,8,15,9,2,2,3,1,0,"2014/15"
"SC0","21/12/14","Dundee United","Celtic",2,1,"H",1,0,"H","S McLean",6,17,6,7,10,9,6,5,1,1,0,0,"2014/15"
"SC0","27/12/14","Celtic","Ross County",0,0,"D",0,0,"D","A Crawford",14,3,4,1,10,9,15,1,1,4,0,0,"2014/15"
"SC0","27/12/14","Dundee","St Mirren",1,3,"A",0,1,"A","D Robertson",9,10,6,4,8,13,11,5,1,3,1,0,"2014/15"
"SC0","27/12/14","Kilmarnock","Hamilton",1,0,"H",0,0,"D","C Thomson",10,15,8,7,11,13,3,7,1,1,0,0,"2014/15"
"SC0","27/12/14","Motherwell","Partick",1,0,"H",1,0,"H","B Colvin",2,1,2,0,2,11,4,8,1,2,0,0,"2014/15"
"SC0","27/12/14","St Johnstone","Dundee United",2,1,"H",0,1,"A","A Muir",8,12,5,3,10,8,7,0,1,1,0,0,"2014/15"
"SC0","28/12/14","Inverness C","Aberdeen",0,1,"A",0,1,"A","C Murray",17,10,6,3,13,10,7,5,1,1,0,0,"2014/15"
"SC0","01/01/15","Aberdeen","St Johnstone",2,0,"H",1,0,"H","C Thomson",16,5,7,3,17,9,8,4,0,2,0,0,"2014/15"
"SC0","01/01/15","Dundee United","Dundee",6,2,"H",4,1,"H","K Clancy",17,8,10,5,9,13,4,4,1,4,0,0,"2014/15"
"SC0","01/01/15","Hamilton","Motherwell",5,0,"H",2,0,"H","A Crawford",20,3,8,0,7,4,5,4,0,0,0,0,"2014/15"
"SC0","01/01/15","Ross County","Inverness C",1,3,"A",0,1,"A","S McLean",9,16,1,7,19,15,3,9,5,2,0,0,"2014/15"
"SC0","01/01/15","St Mirren","Kilmarnock",1,2,"A",0,0,"D","W Collum",8,9,1,5,17,19,5,3,2,3,1,1,"2014/15"
"SC0","04/01/15","Dundee","Ross County",1,1,"D",0,0,"D","C Thomson",17,4,3,2,10,14,6,4,2,2,0,1,"2014/15"
"SC0","04/01/15","Inverness C","St Mirren",1,0,"H",0,0,"D","B Madden",16,7,5,2,12,10,6,3,1,1,0,0,"2014/15"
"SC0","04/01/15","Motherwell","Aberdeen",0,2,"A",0,1,"A","W Collum",7,14,2,5,9,4,3,7,1,0,1,0,"2014/15"
"SC0","04/01/15","Partick","Dundee United",2,2,"D",2,1,"H","J Beaton",11,9,7,3,13,10,6,2,4,3,0,0,"2014/15"
"SC0","04/01/15","St Johnstone","Hamilton",0,1,"A",0,1,"A","A Dallas",5,14,2,5,13,14,8,5,2,2,1,0,"2014/15"
"SC0","05/01/15","Kilmarnock","Celtic",0,2,"A",0,1,"A","K Clancy",6,19,2,5,8,7,4,9,2,2,0,0,"2014/15"
"SC0","10/01/15","Dundee","Motherwell",4,1,"H",3,1,"H","S Finnie",21,3,10,1,4,14,11,6,0,3,0,1,"2014/15"
"SC0","10/01/15","Kilmarnock","Inverness C",1,2,"A",0,0,"D","D Robertson",6,7,1,4,9,6,6,7,3,1,0,1,"2014/15"
"SC0","10/01/15","St Mirren","Aberdeen",0,2,"A",0,2,"A","S McLean",15,10,4,6,8,8,5,6,1,0,0,0,"2014/15"
"SC0","12/01/15","Hamilton","Dundee United",2,3,"A",0,1,"A","B Madden",10,15,5,6,24,11,4,5,2,3,0,0,"2014/15"
"SC0","17/01/15","Aberdeen","Dundee",3,3,"D",1,2,"A","A Muir",15,7,7,7,10,6,9,1,0,2,0,0,"2014/15"
"SC0","17/01/15","Hamilton","Celtic",0,2,"A",0,1,"A","S McLean",12,16,3,7,11,9,6,6,2,2,0,0,"2014/15"
"SC0","17/01/15","Ross County","St Mirren",1,2,"A",0,1,"A","B Colvin",12,10,7,3,5,10,11,2,2,0,0,1,"2014/15"
"SC0","17/01/15","St Johnstone","Partick",2,0,"H",1,0,"H","G Aitken",5,4,2,2,9,11,3,4,1,1,0,0,"2014/15"
"SC0","20/01/15","Inverness C","St Johnstone",2,0,"H",2,0,"H","K Clancy",14,2,9,0,7,12,2,8,0,4,0,0,"2014/15"
"SC0","21/01/15","Celtic","Motherwell",4,0,"H",2,0,"H","B Madden",17,2,7,0,2,4,5,2,0,1,0,0,"2014/15"
"SC0","21/01/15","Dundee","Kilmarnock",1,0,"H",1,0,"H","A Dallas",8,5,2,4,7,14,2,4,1,5,0,0,"2014/15"
"SC0","21/01/15","Partick","Hamilton",5,0,"H",2,0,"H","C Thomson",12,8,8,1,5,8,9,4,1,2,0,0,"2014/15"
"SC0","21/01/15","St Mirren","Dundee United",1,1,"D",1,1,"D","J Beaton",13,11,6,3,11,8,11,8,1,2,0,0,"2014/15"
"SC0","23/01/15","St Johnstone","Aberdeen",1,1,"D",1,0,"H","B Madden",15,18,5,5,12,16,2,5,4,3,0,0,"2014/15"
"SC0","24/01/15","Dundee United","Motherwell",3,1,"H",0,0,"D","C Thomson",14,6,10,3,9,9,13,0,1,0,0,0,"2014/15"
"SC0","24/01/15","Hamilton","Inverness C",0,2,"A",0,0,"D","B Colvin",3,8,2,7,19,5,6,4,1,2,0,0,"2014/15"
"SC0","24/01/15","Kilmarnock","Partick",2,2,"D",1,1,"D","W Collum",7,12,2,6,7,15,10,3,0,0,0,0,"2014/15"
"SC0","24/01/15","Ross County","Celtic",0,1,"A",0,0,"D","K Clancy",11,15,3,2,5,23,4,4,1,3,0,0,"2014/15"
"SC0","24/01/15","St Mirren","Dundee",1,2,"A",1,0,"H","S McLean",8,12,3,7,9,13,8,4,1,2,1,0,"2014/15"
"SC0","30/01/15","Partick","St Mirren",0,1,"A",0,1,"A","K Clancy",10,5,5,2,13,8,6,3,2,2,0,0,"2014/15"
"SC0","31/01/15","Dundee","Hamilton",1,1,"D",0,0,"D","A Crawford",11,8,3,3,10,17,9,7,2,4,0,1,"2014/15"
"SC0","31/01/15","Inverness C","Ross County",1,1,"D",1,0,"H","J Beaton",13,11,5,1,16,12,10,2,3,2,0,0,"2014/15"
"SC0","31/01/15","Motherwell","St Johnstone",1,1,"D",0,1,"A","W Collum",3,8,3,3,10,11,2,6,0,0,1,0,"2014/15"
"SC0","07/02/15","Aberdeen","Ross County",4,0,"H",1,0,"H","C Thomson",14,3,9,3,12,12,3,2,2,2,0,0,"2014/15"
"SC0","07/02/15","Hamilton","Kilmarnock",0,0,"D",0,0,"D","A Muir",16,7,6,4,16,10,1,2,2,2,0,0,"2014/15"
"SC0","11/02/15","Partick","Celtic",0,3,"A",0,2,"A","A Crawford",9,12,3,6,9,14,3,5,0,0,0,0,"2014/15"
"SC0","14/02/15","Dundee","Partick",1,0,"H",0,0,"D","C Thomson",8,7,2,0,12,17,4,10,1,3,0,0,"2014/15"
"SC0","14/02/15","Kilmarnock","Dundee United",3,2,"H",1,2,"A","S Finnie",10,5,6,2,9,14,3,5,3,2,0,0,"2014/15"
"SC0","14/02/15","Ross County","Motherwell",3,2,"H",1,0,"H","C Murray",11,7,7,6,13,15,8,7,4,1,0,0,"2014/15"
"SC0","14/02/15","St Johnstone","Celtic",1,2,"A",0,1,"A","K Clancy",9,19,7,8,8,17,5,9,2,2,0,0,"2014/15"
"SC0","14/02/15","St Mirren","Inverness C",1,2,"A",0,1,"A","B Madden",7,14,3,6,12,17,5,5,0,2,0,0,"2014/15"
"SC0","15/02/15","Hamilton","Aberdeen",0,3,"A",0,2,"A","W Collum",9,17,4,10,8,10,5,11,0,0,1,0,"2014/15"
"SC0","21/02/15","Aberdeen","St Mirren",3,0,"H",1,0,"H","K Clancy",16,8,4,3,11,8,4,1,0,0,0,0,"2014/15"
"SC0","21/02/15","Dundee United","St Johnstone",0,2,"A",0,2,"A","W Collum",8,5,0,4,10,12,11,3,2,0,0,0,"2014/15"
"SC0","21/02/15","Inverness C","Kilmarnock",3,3,"D",2,2,"D","S McLean",9,7,5,6,11,20,10,4,1,3,0,0,"2014/15"
"SC0","21/02/15","Motherwell","Dundee",0,1,"A",0,1,"A","D Robertson",4,6,1,4,17,12,5,7,1,0,0,0,"2014/15"
"SC0","21/02/15","Partick","Ross County",1,3,"A",0,1,"A","S Finnie",13,10,3,6,16,11,3,6,2,3,0,0,"2014/15"
"SC0","22/02/15","Celtic","Hamilton",4,0,"H",0,0,"D","B Colvin",22,1,12,0,4,6,13,2,0,2,0,0,"2014/15"
"SC0","24/02/15","Dundee United","Inverness C",1,1,"D",0,1,"A","C Murray",8,7,4,3,17,16,2,2,3,4,1,1,"2014/15"
"SC0","28/02/15","Dundee United","Partick",0,2,"A",0,2,"A","G Aitken",4,8,1,3,9,12,5,2,1,0,0,0,"2014/15"
"SC0","28/02/15","Motherwell","Inverness C",2,1,"H",0,0,"D","A Muir",14,10,4,1,12,11,8,4,1,3,1,0,"2014/15"
"SC0","28/02/15","Ross County","Dundee",1,0,"H",0,0,"D","A Dallas",11,5,5,0,14,11,4,1,2,1,0,0,"2014/15"
"SC0","28/02/15","St Johnstone","Kilmarnock",0,0,"D",0,0,"D","E Anderson",7,9,5,6,7,15,12,2,4,2,0,0,"2014/15"
"SC0","28/02/15","St Mirren","Hamilton",1,0,"H",0,0,"D","A Crawford",11,7,5,1,11,10,10,5,1,2,0,0,"2014/15"
"SC0","01/03/15","Celtic","Aberdeen",4,0,"H",1,0,"H","J Beaton",10,10,8,5,14,10,4,8,2,3,0,0,"2014/15"
"SC0","04/03/15","Celtic","St Johnstone",0,1,"A",0,0,"D","C Murray",13,6,7,3,10,9,7,7,1,2,0,0,"2014/15"
"SC0","07/03/15","Motherwell","Kilmarnock",1,1,"D",1,1,"D","J Beaton",17,7,8,3,13,13,11,3,1,1,0,1,"2014/15"
"SC0","07/03/15","Ross County","Partick",1,0,"H",1,0,"H","A Muir",7,15,4,4,5,14,2,5,1,4,0,1,"2014/15"
"SC0","13/03/15","Aberdeen","Motherwell",2,1,"H",0,1,"A","A Crawford",14,7,5,4,5,16,7,2,0,3,0,0,"2014/15"
"SC0","14/03/15","Hamilton","Ross County",2,2,"D",2,1,"H","C Thomson",9,6,4,3,9,13,3,4,1,3,0,0,"2014/15"
"SC0","14/03/15","Kilmarnock","St Mirren",1,0,"H",0,0,"D","S McLean",8,5,4,2,11,11,5,8,1,2,0,0,"2014/15"
"SC0","14/03/15","Partick","St Johnstone",3,0,"H",2,0,"H","W Collum",8,2,4,1,8,10,5,5,1,1,0,0,"2014/15"
"SC0","20/03/15","Motherwell","Hamilton",4,0,"H",0,0,"D","C Murray",14,10,8,2,10,12,8,3,0,3,0,1,"2014/15"
"SC0","21/03/15","Celtic","Dundee United",3,0,"H",3,0,"H","K Clancy",12,9,5,4,10,10,7,5,2,1,0,0,"2014/15"
"SC0","21/03/15","Dundee","Aberdeen",1,1,"D",0,1,"A","C Thomson",6,6,2,3,6,12,2,10,2,1,0,0,"2014/15"
"SC0","21/03/15","Partick","Inverness C",1,0,"H",0,0,"D","S McLean",7,2,3,1,6,8,9,4,1,0,0,0,"2014/15"
"SC0","21/03/15","Ross County","Kilmarnock",2,1,"H",1,0,"H","B Madden",18,16,10,4,17,11,14,5,2,2,0,0,"2014/15"
"SC0","21/03/15","St Johnstone","St Mirren",2,0,"H",1,0,"H","J Beaton",13,6,4,2,14,17,3,1,1,1,0,0,"2014/15"
"SC0","03/04/15","St Mirren","Celtic",0,2,"A",0,0,"D","A Muir",6,13,3,7,9,10,2,5,2,0,0,0,"2014/15"
"SC0","04/04/15","Aberdeen","Partick",0,0,"D",0,0,"D","K Clancy",10,5,6,1,8,12,4,6,1,1,0,0,"2014/15"
"SC0","04/04/15","Dundee United","Ross County",1,2,"A",1,1,"D","S McLean",5,4,2,3,11,14,3,4,1,3,0,0,"2014/15"
"SC0","04/04/15","Hamilton","St Johnstone",1,1,"D",1,0,"H","G Aitken",9,8,2,3,9,10,1,8,1,2,1,0,"2014/15"
"SC0","04/04/15","Inverness C","Dundee",1,1,"D",0,0,"D","W Collum",13,5,6,1,22,12,6,1,2,2,0,0,"2014/15"
"SC0","04/04/15","Kilmarnock","Motherwell",1,2,"A",1,1,"D","E Anderson",6,14,4,9,12,11,2,9,3,3,0,0,"2014/15"
"SC0","07/04/15","Motherwell","St Mirren",5,0,"H",3,0,"H","C Thomson",14,14,8,5,15,12,8,5,0,2,0,0,"2014/15"
"SC0","07/04/15","Ross County","St Johnstone",1,0,"H",0,0,"D","K Clancy",13,6,2,2,12,16,5,5,1,4,0,0,"2014/15"
"SC0","08/04/15","Aberdeen","Inverness C",1,0,"H",0,0,"D","C Murray",12,5,3,2,8,12,6,3,2,0,0,0,"2014/15"
"SC0","08/04/15","Celtic","Partick",2,0,"H",1,0,"H","W Collum",18,5,7,3,6,8,6,4,0,0,0,1,"2014/15"
"SC0","08/04/15","Dundee","Dundee United",3,1,"H",2,1,"H","J Beaton",7,9,7,4,15,18,6,9,3,4,0,0,"2014/15"
"SC0","11/04/15","Dundee United","Hamilton",1,0,"H",0,0,"D","A Dallas",8,14,2,8,8,12,1,7,2,3,0,0,"2014/15"
"SC0","11/04/15","Inverness C","Celtic",1,1,"D",1,1,"D","C Thomson",4,9,1,5,18,18,3,9,4,3,0,0,"2014/15"
"SC0","11/04/15","Partick","Motherwell",2,0,"H",0,0,"D","B Madden",12,3,7,2,12,13,2,2,2,1,0,1,"2014/15"
"SC0","11/04/15","St Johnstone","Dundee",1,0,"H",1,0,"H","S McLean",8,7,5,1,13,13,3,2,0,1,0,0,"2014/15"
"SC0","12/04/15","Kilmarnock","Aberdeen",1,2,"A",0,1,"A","J Beaton",7,9,3,5,6,6,3,13,1,0,0,0,"2014/15"
"SC0","13/04/15","St Mirren","Ross County",0,3,"A",0,1,"A","W Collum",8,17,4,7,10,14,2,9,0,0,1,0,"2014/15"
"SC0","15/04/15","Celtic","Kilmarnock",4,1,"H",0,0,"D","A Crawford",18,2,8,2,7,11,5,1,0,0,0,0,"2014/15"
"SC0","18/04/15","Aberdeen","Dundee United",1,0,"H",1,0,"H","B Madden",9,5,2,3,9,9,13,2,0,2,1,0,"2014/15"
"SC0","22/04/15","Dundee","Celtic",1,2,"A",0,1,"A","C Murray",5,17,2,6,12,5,3,10,2,0,0,0,"2014/15"
"SC0","24/04/15","Hamilton","Motherwell",2,0,"H",1,0,"H","J Beaton",13,11,5,3,11,11,6,5,3,0,0,0,"2014/15"
"SC0","25/04/15","Dundee","St Johnstone",0,2,"A",0,0,"D","C Thomson",5,3,3,1,12,9,1,2,0,1,1,0,"2014/15"
"SC0","25/04/15","Inverness C","Aberdeen",1,2,"A",0,0,"D","A Crawford",6,6,5,4,10,13,6,5,0,1,0,0,"2014/15"
"SC0","25/04/15","Ross County","Partick",1,2,"A",1,1,"D","D Robertson",1,12,1,7,9,12,2,6,2,0,0,0,"2014/15"
"SC0","25/04/15","St Mirren","Kilmarnock",4,1,"H",2,0,"H","K Clancy",14,13,6,6,6,16,12,6,1,3,0,0,"2014/15"
"SC0","26/04/15","Dundee United","Celtic",0,3,"A",0,0,"D","W Collum",5,8,3,5,4,8,3,11,1,1,0,0,"2014/15"
"SC0","01/05/15","Celtic","Dundee",5,0,"H",2,0,"H","B Madden",19,6,6,3,9,10,6,2,1,0,0,0,"2014/15"
"SC0","02/05/15","Dundee United","Aberdeen",1,0,"H",1,0,"H","J Beaton",8,6,4,1,16,9,6,5,2,2,0,0,"2014/15"
"SC0","02/05/15","Kilmarnock","Hamilton",2,3,"A",1,1,"D","S McLean",9,11,4,7,9,8,5,5,2,2,0,0,"2014/15"
"SC0","02/05/15","Motherwell","Ross County",1,1,"D",1,1,"D","A Crawford",7,6,5,4,21,12,10,5,4,2,0,0,"2014/15"
"SC0","02/05/15","Partick","St Mirren",3,0,"H",0,0,"D","C Thomson",11,4,5,0,8,5,11,0,2,1,0,0,"2014/15"
"SC0","02/05/15","St Johnstone","Inverness C",1,1,"D",0,0,"D","A Dallas",5,6,1,3,16,21,5,3,5,3,0,1,"2014/15"
"SC0","05/05/15","Inverness C","Dundee United",2,1,"H",2,1,"H","C Murray",9,7,3,2,14,15,4,4,1,2,0,0,"2014/15"
"SC0","08/05/15","Motherwell","Kilmarnock",3,1,"H",2,0,"H","W Collum",18,10,9,3,11,12,7,5,1,4,0,0,"2014/15"
"SC0","09/05/15","Dundee","Inverness C",0,1,"A",0,1,"A","D Robertson",11,4,6,2,13,20,8,8,1,2,0,0,"2014/15"
"SC0","09/05/15","Hamilton","Partick",1,1,"D",0,0,"D","S Finnie",9,6,3,4,14,10,4,4,2,0,0,0,"2014/15"
"SC0","09/05/15","Ross County","St Mirren",1,2,"A",1,1,"D","S McLean",18,7,5,2,9,11,6,5,2,1,1,0,"2014/15"
"SC0","09/05/15","St Johnstone","Dundee United",1,1,"D",0,0,"D","K Clancy",9,13,3,3,13,9,7,6,3,3,0,0,"2014/15"
"SC0","10/05/15","Aberdeen","Celtic",0,1,"A",0,0,"D","C Thomson",8,12,3,7,11,16,5,1,3,1,0,0,"2014/15"
"SC0","15/05/15","St Johnstone","Celtic",0,0,"D",0,0,"D","A Crawford",16,12,7,4,9,16,11,7,3,3,0,0,"2014/15"
"SC0","16/05/15","Dundee","Aberdeen",1,1,"D",1,0,"H","E Anderson",8,11,2,5,10,15,5,12,1,2,0,0,"2014/15"
"SC0","16/05/15","Inverness C","Dundee United",3,0,"H",0,0,"D","C Thomson",15,14,6,4,9,10,5,6,2,2,0,0,"2014/15"
"SC0","16/05/15","Partick","Kilmarnock",1,4,"A",0,2,"A","J Beaton",6,9,1,7,3,3,5,3,3,2,0,0,"2014/15"
"SC0","16/05/15","Ross County","Hamilton",2,1,"H",0,1,"A","B Madden",7,10,3,4,6,13,9,7,2,2,1,0,"2014/15"
"SC0","16/05/15","St Mirren","Motherwell",2,1,"H",0,0,"D","B Colvin",11,12,5,6,7,15,5,5,0,4,0,1,"2014/15"
"SC0","23/05/15","Hamilton","St Mirren",1,0,"H",0,0,"D","C Thomson",9,2,7,0,6,2,8,5,2,1,0,0,"2014/15"
"SC0","23/05/15","Kilmarnock","Ross County",1,2,"A",1,0,"H","E Anderson",10,16,4,9,11,6,4,7,2,0,0,0,"2014/15"
"SC0","23/05/15","Motherwell","Partick",0,0,"D",0,0,"D","S McLean",8,18,4,5,9,7,4,6,0,0,0,0,"2014/15"
"SC0","24/05/15","Aberdeen","St Johnstone",0,1,"A",0,0,"D","W Collum",9,6,7,1,12,12,13,4,1,2,0,0,"2014/15"
"SC0","24/05/15","Celtic","Inverness C",5,0,"H",2,0,"H","K Clancy",9,3,5,0,12,8,5,0,2,0,0,0,"2014/15"
"SC0","24/05/15","Dundee United","Dundee",3,0,"H",2,0,"H","B Madden",13,10,5,3,19,10,3,7,3,4,0,0,"2014/15"
"SC0","01/08/15","Celtic","Ross County",2,0,"H",2,0,"H","W Collum",13,8,7,4,11,5,15,4,2,0,0,0,"2015/16"
